Author1;Author2;Frequency
Algeria;Algeria;1
Argentina;Argentina;5
Argentina;Colombia;1
Argentina;Ecuador;2
Argentina;Spain;1
Argentina;Venezuela;1
Belgium;Belgium;1
Brazil;Brazil;9
Chile;Belgium;2
Chile;Chile;4
Colombia;Colombia;20
Colombia;Spain;2
Colombia;Venezuela;1
Costa Rica;Costa Rica;3
Cuba;Angola;2
Cuba;Belgium;9
Cuba;Chile;9
Cuba;Cuba;89
Cuba;Ecuador;24
Cuba;Greece;3
Cuba;India;10
Cuba;Jordan;1
Cuba;Qatar;1
Cuba;Spain;2
Ecuador;Chile;1
Ecuador;Colombia;2
Ecuador;Costa Rica;2
Ecuador;Dominican Republic;3
Ecuador;Ecuador;300
Ecuador;Greece;1
Ecuador;Peru;4
Ecuador;Spain;4
Ecuador;USA;4
Ecuador;Venezuela;8
France;France;3
India;India;121
India;Jordan;1
India;Oman;1
India;Qatar;1
India;Uzbekistan;2
Indonesia;Indonesia;31
Irak;Irak;3
Jordan;Jordan;9
Jordan;United Arab Emirates;1
Mexico;Brazil;3
Mexico;Colombia;6
Mexico;Costa Rica;1
Mexico;Cuba;10
Mexico;Ecuador;5
Mexico;India;2
Mexico;Mexico;65
Mexico;Spain;5
Morroco;Morroco;10
Pakistan;Pakistan;3
Pakistan;Spain;3
Pakistan;Turkey;3
Peru;Peru;12
Romania;Romania;1
Rusia;Rusia;6
Spain;Costa Rica;2
Spain;Spain;6
Spain;Venezuela;1
Turkey;Spain;1
USA;USA;2
