Author1;Author2;Frequency
Argentina;Argentina;3
Australia;Canada;2
Australia;USA;1
Belgium;Belgium;1
Brazil;Brazil;3
Canada;Chile;1
Chile;Chile;1
China;Brazil;1
China;France;2
China;Netherlands;1
China;Rusia;1
China;Spain;1
Colombia;Chile;2
Costa Rica;Costa Rica;1
France;France;33
France;Mauritius;1
France;Rusia;1
France;USA;2
Germany;China;1
Germany;France;3
Germany;Germany;22
Germany;India;1
Germany;Israel;2
Germany;Italy;2
Germany;Mauritius;1
Germany;Mexico;2
Germany;Poland;1
Germany;Rusia;1
Germany;Switzerland;1
Hungary;Israel;1
Hungary;USA;1
India;India;1
Israel;China;3
Israel;Israel;2
Italy;Brazil;2
Italy;France;4
Italy;Italy;9
Italy;Portugal;2
Kuwait;USA;1
Mexico;Mexico;1
Morroco;Kuwait;1
Morroco;Morroco;1
Morroco;USA;1
Netherlands;Japan;1
Poland;India;1
Poland;Poland;5
Portugal;Brazil;1
Portugal;Portugal;1
Singapore;Japan;1
Sweden;Sweden;6
Switzerland;Brazil;1
Switzerland;China;1
Switzerland;France;3
Switzerland;Switzerland;1
UK;China;1
UK;France;1
UK;Italy;2
UK;UK;1
UK;USA;1
Ukraine;France;1
Uruguay;Canada;2
Uruguay;France;2
Uruguay;Uruguay;3
USA;Brazil;2
USA;China;1
USA;China;1
USA;Israel;3
USA;Netherlands;1
USA;USA;25
Vietnam;Japan;1
Vietnam;Netherlands;1
